Frame,Time Stamp,FPS Location (ms),SkelId,Joint Type,Confidence,X,Y, Original Position X, Original Position Y, Original Position Z
5322,17:46:23,857,31,HipCenter,Tracked,411,276,0.4463059,-0.1785886,2.811218
5322,17:46:23,857,31,Spine,Tracked,417,265,0.4841592,-0.1228012,2.843711
5322,17:46:23,857,31,ShoulderCenter,Tracked,418,201,0.4874457,0.1945118,2.84027
5322,17:46:23,857,31,Head,Tracked,411,171,0.4637299,0.3514817,2.898139
5322,17:46:23,857,31,ShoulderLeft,Tracked,393,224,0.3759161,0.0843074,2.95098
5322,17:46:23,857,31,ElbowLeft,Inferred,384,258,0.3276949,-0.09377016,2.925629
5322,17:46:23,857,31,WristLeft,Inferred,391,264,0.3362128,-0.1125438,2.712747
5322,17:46:23,857,31,HandLeft,Inferred,379,268,0.2804515,-0.1327786,2.707259
5322,17:46:23,857,31,ShoulderRight,Tracked,437,222,0.5622566,0.08581877,2.752246
5322,17:46:23,857,31,ElbowRight,Tracked,450,261,0.6060716,-0.09737422,2.661673
5322,17:46:23,857,31,WristRight,Tracked,401,263,0.3778752,-0.1093225,2.671975
5322,17:46:23,857,31,HandRight,Tracked,385,266,0.3056863,-0.1244437,2.704474
5322,17:46:23,857,31,HipLeft,Tracked,401,290,0.402361,-0.2504548,2.845338
5322,17:46:23,857,31,KneeLeft,Tracked,403,383,0.4124337,-0.7125401,2.853673
5322,17:46:23,857,31,AnkleLeft,Tracked,403,454,0.4111738,-1.063105,2.836177
5322,17:46:23,857,31,FootLeft,Tracked,399,469,0.3865563,-1.127672,2.811186
5322,17:46:23,857,31,HipRight,Tracked,419,289,0.4760891,-0.2368949,2.754687
5322,17:46:23,857,31,KneeRight,Tracked,430,382,0.5253432,-0.6792811,2.732676
5322,17:46:23,857,31,AnkleRight,Tracked,434,456,0.5358156,-1.014366,2.677192
5322,17:46:23,857,31,FootRight,Tracked,426,466,0.4863284,-1.03927,2.627912
5323,17:46:23,865,31,HipCenter,Tracked,411,277,0.4451619,-0.1801992,2.809402
5323,17:46:23,865,31,Spine,Tracked,417,265,0.4820619,-0.1252275,2.841446
5323,17:46:23,865,31,ShoulderCenter,Tracked,416,203,0.4772826,0.183238,2.840155
5323,17:46:23,865,31,Head,Tracked,412,173,0.4663524,0.3416214,2.897247
5323,17:46:23,865,31,ShoulderLeft,Tracked,394,225,0.3789411,0.07928425,2.942084
5323,17:46:23,865,31,ElbowLeft,Inferred,384,259,0.327873,-0.09703889,2.914041
5323,17:46:23,865,31,WristLeft,Inferred,392,263,0.3385921,-0.1082183,2.701316
5323,17:46:23,865,31,HandLeft,Inferred,380,267,0.2840983,-0.12765,2.687033
5323,17:46:23,865,31,ShoulderRight,Tracked,436,222,0.5596265,0.08581632,2.751357
5323,17:46:23,865,31,ElbowRight,Tracked,450,261,0.6047261,-0.09739465,2.661233
5323,17:46:23,865,31,WristRight,Tracked,403,263,0.3849453,-0.1052773,2.663568
5323,17:46:23,865,31,HandRight,Tracked,387,265,0.3168813,-0.1183335,2.704763
5323,17:46:23,865,31,HipLeft,Tracked,401,291,0.4021616,-0.2517189,2.845403
5323,17:46:23,865,31,KneeLeft,Tracked,403,382,0.4123355,-0.7117369,2.853807
5323,17:46:23,865,31,AnkleLeft,Tracked,403,453,0.4100121,-1.058139,2.833911
5323,17:46:23,865,31,FootLeft,Tracked,399,469,0.3861688,-1.124454,2.808264
